VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,VENDOR NAME,YEAR,MONTH
PVCI857276813,14585.84,2019-05-19,DEPT OF FAMILY AND SUPPORT SERVICES,CANON SOLUTIONS AMERICA INC,2019,5
PV27078554377,3912.0,2019-01-05,DEPT OF AVIATION,HAYMARKET CENTER,2019,1
PV39198883498,14803.92,2018-04-01,DEPARTMENT OF FINANCE,HIGHWAY SAFETY CORPORATION.,2018,4
PVRF780030265,47491.51,2018-07-07,DEPT OF STREETS & SANITATION,"MEDRISK, INC",2018,7
PV99242497743,4901.25,2019-03-07,DEPT OF FAMILY AND SUPPORT SERVICES,AIR ONE EQUIPMENT INC,2019,3
PV99392564863,4461.7,2018-08-22,DEPARTMENT OF HEALTH,CHRISTIAN COMMUNITY HEALTH CENTER,2018,8
PV39972946419,41586.54,2019-10-02,DEPT OF FLEET MGMT,"ADA S. MC KINLEY COMMUNITY SERVICES, INC.",2019,10
PVCI480285619,794.7,2019-06-11,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2019,6
PVCI349383839,1209.67,2019-09-17,DEPARTMENT OF WATER MANAGEMENT,WHEELS LT,2019,9
PV99129620381,993.99,2018-07-23,DEPT OF GENERAL SERVICES,WHEELS LT,2018,7
CVIP486563091,53429.09,2019-06-08,DEPT OF GENERAL SERVICES,UNIVERSITY OF CHICAGO 03,2019,6
PVCI034281762,3921.15,2019-12-01,DEPT OF GENERAL SERVICES,"ARROW MESSENGER SERVICES, INC.",2019,12
PVCI221388529,34550.88,2019-04-25,DEPT OF GENERAL SERVICES,"ARNOLD SCOTT HARRIS, P.C.",2019,4
PV39490740125,17139.33,2019-11-22,DEPT OF COMMUNITY DEVELOPMENT,HIGHWAY SAFETY CORPORATION.,2019,11
PV99777619913,5237.52,2019-08-30,DEPT OF AVIATION,"RICONDO & ASSOCIATES, INC.",2019,8
PVRF639258982,3668.22,2018-07-30,DEPT OF FAMILY AND SUPPORT SERVICES,LEXIS-NEXIS,2018,7
PVCI059433560,30081.66,2018-09-23,CHICAGO DEPARTMENT OF TRANSPORTATION,HIGHWAY SAFETY CORPORATION.,2018,9
PV99376135927,762.61,2018-08-26,DEPT OF COMMUNITY DEVELOPMENT,OPEN DOOR CLINIC OF GREATER ELGIN,2018,8
PVCI621024804,371.45,2019-10-08,CHICAGO DEPARTMENT OF TRANSPORTATION,VICTORIA LEGAL & CORPORATE SERVICES,2019,10
PV99152455284,18411.98,2018-05-03,DEPARTMENT OF LAW,ALLIED WASTE TRANSPORTATION INC,2018,5
PV99465413727,58868.77,2018-08-13,DEPT OF FAMILY AND SUPPORT SERVICES,AECOM USA INC,2018,8
PVRF558179261,5329.85,2018-02-09,OFFICE OF EMERGENCY COMMUNICATION,OZINGA READY MIX CONCRETE INC,2018,2
PV99962269025,130.52,2019-09-13,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,9
PVCI293371046,14081.78,2018-02-09,DEPARTMENT OF CULTURAL AFFAIRS,APEX PARTNERS LP,2018,2
PV27628503624,250.93,2018-08-26,DEPT OF AVIATION,"OFFICE DEPOT, INC.",2018,8
PV99750226330,51233.9,2019-09-22,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,RUSH UNIVERSITY MEDICAL CENTER,2019,9
PV99293098790,5911.25,2018-02-04,DEPT OF COMMUNITY DEVELOPMENT,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,2
PV39375570422,196.94,2019-01-30,DEPT OF COMMUNITY DEVELOPMENT,GREATER ILLINOIS TITLE COMPANY,2019,1
PV27403775299,17918.52,2018-10-03,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,THOMSON WEST,2018,10
PVCI158011507,37655.76,2019-07-09,CHICAGO PUBLIC LIBRARY,"GRAYBAR ELECTRIC COMPANY, INC",2019,7
PVCI855933966,22267.28,2018-03-01,DEPT OF FAMILY AND SUPPORT SERVICES,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2018,3
PVCI047462630,23751.77,2019-10-01,CHICAGO DEPARTMENT OF TRANSPORTATION,MARY CRANE LEAGUE,2019,10
CVIP346670194,3329.03,2018-03-11,DEPT OF AVIATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,3
PV39596886631,2358.2,2019-10-26,CHICAGO DEPARTMENT OF TRANSPORTATION,NORTHSHORE UNIVERSITY HEALTHSYSTEM MEDICAL GROUP,2019,10
PVCI176163394,47616.71,2018-09-01,CHICAGO DEPARTMENT OF TRANSPORTATION,"CDW GOVERNMENT, LLC.",2018,9
PV27265444896,2509.0,2018-05-11,DEPT OF AVIATION,PUERTO RICAN CULTURAL CENTER,2018,5
PV39646921839,28906.05,2019-07-02,DEPT OF FAMILY AND SUPPORT SERVICES,UNIVERSITY OF CHICAGO 03,2019,7
CVIP832820962,5481.17,2018-07-14,CHICAGO PUBLIC LIBRARY,JOHNSON PIPE & SUPPLY COMPANY INC,2018,7
PV99695454977,18761.26,2018-03-22,CHICAGO DEPARTMENT OF TRANSPORTATION,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,3
PVRF790203365,893.12,2019-09-12,DEPARTMENT OF POLICE,"MOBILE FACILITIES OF ILL, INC.",2019,9
PVCI999662375,26632.26,2018-11-04,DEPT OF STREETS & SANITATION,METROPOLITAN FAMILY SERVICE,2018,11
PVRF793082156,18.3,2019-05-04,DEPT OF FLEET MGMT,PV HOLDING CORP,2019,5
CVIP699848147,6190.5,2018-10-09,DEPT OF AVIATION,"SILK SCREEN EXPRESS, INC.",2018,10
PV27091700109,154.37,2019-03-20,DEPT OF STREETS & SANITATION,SAFER FOUNDATION 01,2019,3
PV39279824714,16.46,2019-06-07,DEPT OF BUSINESS & INFORMATION SERVICES,UNITED PARCEL SERVICE 01,2019,6
CVIP897076133,81.75,2018-07-21,CHICAGO DEPARTMENT OF TRANSPORTATION,JOHNSON PIPE & SUPPLY COMPANY INC,2018,7
PVCI346814165,15486.1,2019-11-20,DEPARTMENT OF LAW,OLIVE BRANCH MISSION,2019,11
PV39587456575,242475.61,2018-06-08,DEPT OF STREETS & SANITATION,JACOBS ENGINEERING GROUP INC,2018,6
PV99184136586,139.79,2018-06-24,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,6
PV39997326587,21157.74,2019-08-09,DEPT OF FLEET MGMT,THRESHOLDS,2019,8
PV99201001817,119.21,2018-06-16,DEPT OF FLEET MGMT,"OFFICE DEPOT, INC.",2018,6
PVRF682547867,37932.3,2018-12-13,DEPARTMENT OF PERSONNEL,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,12
PVCI263816178,4124.74,2018-02-24,DEPT OF GENERAL SERVICES,BUILDERS CHICAGO CORPORATION,2018,2
PV27042209995,633.43,2018-09-19,DEPT OF FAMILY AND SUPPORT SERVICES,AMERICAN BUILDING SERVICES LLC,2018,9
PVCI663149750,344.83,2018-11-19,DEPARTMENT OF WATER MANAGEMENT,NESTLE WATERS NORTH AMERICA,2018,11
CVIP438692692,7800.13,2019-10-14,DEPARTMENT OF HEALTH,JOHNSON PIPE & SUPPLY COMPANY INC,2019,10
CVIP065369521,958.89,2018-08-24,DEPT OF FLEET MGMT,AT&T CORP,2018,8
CVIP813591979,5755.69,2018-03-11,DEPT OF STREETS & SANITATION,AT&T CORP,2018,3
PVRF486489271,90.64,2019-07-29,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,7
PV99419422295,10891.64,2019-03-31,DEPARTMENT OF WATER MANAGEMENT,"ERIE FAMILY HEALTH CENTER, INC.",2019,3
PV99940608581,2739.42,2019-01-27,DEPARTMENT OF LAW,JOHNSON PIPE & SUPPLY COMPANY INC,2019,1
PV39011480779,149.2,2018-11-21,OFFICE OF SPECIAL EVENTS,WHEELS LT,2018,11
PV27709623679,1196.86,2018-05-06,DEPT OF GENERAL SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2018,5
PV99512148254,87.04,2018-06-03,DEPT OF FAMILY AND SUPPORT SERVICES,FEDEX,2018,6
CVIP478727100,14611.23,2018-10-01,DEPT OF COMMUNITY DEVELOPMENT,G & V CONSTRUCTION CO INC,2018,10
PV99690863520,59.92,2019-10-15,FIRE DEPARTMENT,RENTAL CAR FINANCE CORP,2019,10
PV27584460943,15901.19,2018-12-11,DEPARTMENT OF WATER MANAGEMENT,"BARRICADE LITES, INC.",2018,12
CVIP400017128,2477.59,2019-02-28,DEPARTMENT OF FINANCE,CHICAGO COMMONS ASSOCIATION,2019,2
PVRF377003072,1336.33,2019-02-23,CHICAGO DEPARTMENT OF TRANSPORTATION,SAFER FOUNDATION 01,2019,2
PV27480788671,42605.62,2019-05-30,DEPARTMENT OF WATER MANAGEMENT,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,2019,5
PV99290817892,3370.3,2018-02-24,DEPT OF STREETS & SANITATION,"OFFICE DEPOT, INC.",2018,2
PVRF290321388,32.98,2019-11-02,DEPT OF FAMILY AND SUPPORT SERVICES,HERTZ VEHICLES LLC,2019,11
PVRF314808152,107278.18,2018-02-14,CHICAGO DEPARTMENT OF TRANSPORTATION,ALLIED WASTE TRANSPORTATION INC,2018,2
PVCI492976650,999.45,2018-12-26,CHICAGO PUBLIC LIBRARY,GREATER ILLINOIS TITLE COMPANY,2018,12
PV39973866403,59.83,2019-08-24,CHICAGO DEPARTMENT OF TRANSPORTATION,"OFFICE DEPOT, INC.",2019,8
PV39191762701,33.76,2018-10-20,DEPT OF GENERAL SERVICES,WHEELS LT,2018,10
PVCI931804521,5067.9,2018-03-23,CHICAGO DEPARTMENT OF TRANSPORTATION,TAFT STETTINIUS HOLLISTER LLP CHICAGO,2018,3
PV39165342856,3690.26,2018-08-01,CHICAGO DEPARTMENT OF TRANSPORTATION,"BUS & TRUCK OF CHICAGO, INC",2018,8
PV39947496553,14.23,2019-05-29,DEPT OF BUSINESS & INFORMATION SERVICES,RENTAL CAR FINANCE CORP,2019,5
PV27906443114,356.9,2019-07-08,DEPT OF FAMILY AND SUPPORT SERVICES,LEXIS-NEXIS,2019,7
PV99574473235,3348306.08,2018-06-19,DEPT OF GENERAL SERVICES,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,6
PVCI728406238,10425.33,2018-12-22,DEPT OF FAMILY AND SUPPORT SERVICES,C & C COMMUNICATIONS,2018,12
PV99565370255,7.99,2019-08-30,DEPT OF FAMILY AND SUPPORT SERVICES,WHEELS LT,2019,8
PV99495744077,8860.39,2019-02-27,CHICAGO DEPARTMENT OF TRANSPORTATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,2
PV39080227271,20427.1,2019-01-27,DEPT OF BUSINESS & INFORMATION SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,1
PVCI298286434,1812.0,2018-01-13,CHICAGO DEPARTMENT OF TRANSPORTATION,"OAKK CONSTRUCTION COMPANY, INC",2018,1
PV27093903463,879.44,2019-03-03,DEPT OF STREETS & SANITATION,ALL CHICAGO MAKING HOMELESSNESS HISTORY,2019,3
PV27875480953,8172.72,2018-02-11,DEPT OF FLEET MGMT,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,2018,2
PV27883751991,77749.64,2019-08-03,DEPT OF STREETS & SANITATION,"GRAYBAR ELECTRIC COMPANY, INC",2019,8
PV27551452081,1606.06,2019-11-29,DEPT OF BUSINESS & INFORMATION SERVICES,CANON SOLUTIONS AMERICA INC,2019,11
CVIP192607962,1139302.63,2019-11-11,OFFICE OF EMERGENCY COMMUNICATION,KENNY CONSTRUCTION COMPANY,2019,11
PV99468233269,53393.81,2018-11-09,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,2018,11
PVCI915814546,22502.27,2018-03-03,DEPT OF FAMILY AND SUPPORT SERVICES,CENTERS FOR NEW HORIZONS 01,2018,3
PV99627523400,52165.09,2019-03-15,DEPARTMENT OF BUILDINGS,"CHICAGO UNITED INDUSTRIES, LIMITED",2019,3
CVIP340503209,32625.28,2018-12-03,DEPT OF FAMILY AND SUPPORT SERVICES,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",2018,12
PV27019943940,723.92,2018-03-08,DEPT OF GENERAL SERVICES,NORTHWESTERN MED. FAC. FOUNDATION,2018,3
CVIP179251073,94355.92,2018-10-12,DEPT OF AVIATION,CHICAGO COMMONS ASSOCIATION,2018,10
PV99729268712,982.72,2019-04-21,DEPARTMENT OF WATER MANAGEMENT,SECRETARY OF STATE,2019,4
CVIP831172927,9094.46,2019-04-25,DEPT OF FLEET MGMT,"GRAYBAR ELECTRIC COMPANY, INC",2019,4
PVRF461333411,2160.95,2019-04-09,DEPT OF FAMILY AND SUPPORT SERVICES,"SILK SCREEN EXPRESS, INC.",2019,4
CVIP396112117,32929.08,2018-03-20,DEPT OF FAMILY AND SUPPORT SERVICES,UNIVERSITY OF CHICAGO 03,2018,3
PVCI297281414,504.51,2018-10-04,DEPT OF AVIATION,MIDLAND ORTHOPEDIC ASSOCIATES 01,2018,10
PV99968163460,585963.64,2018-09-20,DEPT OF AVIATION,"INDUSTRIAL FENCE, INC",2018,9
PVCI445491108,59375.75,2019-07-16,DEPT OF BUSINESS & INFORMATION SERVICES,RELIABLE CONTRACTING & EQUIP.,2019,7
PV99684502549,154.35,2018-10-29,DEPT OF COMMUNITY DEVELOPMENT,"OFFICE DEPOT, INC.",2018,10
PV39376725946,109611.03,2018-05-06,DEPT OF GENERAL SERVICES,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,5
PVCI653238278,1854.6,2019-03-08,DEPARTMENT OF LAW,"OAKK CONSTRUCTION COMPANY, INC",2019,3
CVIP884913900,35659.78,2019-01-14,DEPARTMENT OF HEALTH,SET ENVIRONMENTAL INC,2019,1
PV99682516287,406.09,2018-10-07,DEPT OF GENERAL SERVICES,PV HOLDING CORP,2018,10
CVIP128618940,1669.39,2018-03-28,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD AREA COMMUNITY CENTER 01,2018,3
CVIP585086681,62116.75,2018-02-26,DEPT OF AVIATION,"GRAYBAR ELECTRIC COMPANY, INC",2018,2
PV99852064349,22665.25,2019-09-17,DEPARTMENT OF HEALTH,METROPOLITAN FAMILY SERVICE,2019,9
PVRF572841519,4214.13,2019-08-22,DEPT OF GENERAL SERVICES,NORTHWESTERN MED. FAC. FOUNDATION,2019,8
CVIP265769481,409877.18,2018-12-10,DEPT OF FAMILY AND SUPPORT SERVICES,REITER BURNS LLP,2018,12
PV27457745684,15235.58,2019-07-24,CHICAGO PUBLIC LIBRARY,OPEN DOOR CLINIC OF GREATER ELGIN,2019,7
PVRF161875179,91302.05,2018-09-02,DEPT OF AVIATION,METROPOLITAN FAMILY SERVICE,2018,9
PVCI011452810,74826.82,2018-07-05,DEPT OF FAMILY AND SUPPORT SERVICES,A SAFE HAVEN FOUNDATION,2018,7
PV27661435731,37165.79,2019-09-21,DEPT OF BUSINESS & INFORMATION SERVICES,METROPOLITAN FAMILY SERVICE,2019,9
PVRF447288973,16.85,2018-02-18,DEPT OF FAMILY AND SUPPORT SERVICES,RENTAL CAR FINANCE CORP,2018,2
PV39377911495,28868.62,2018-06-27,DEPT OF GENERAL SERVICES,CENTERS FOR NEW HORIZONS 01,2018,6
PV39952007386,360005.38,2018-07-24,DEPT OF FAMILY AND SUPPORT SERVICES,MOTOROLA SOLUTIONS INC,2018,7
PVRF718467122,58613.87,2019-01-03,DEPT OF FAMILY AND SUPPORT SERVICES,JACOBS ENGINEERING GROUP INC,2019,1
PVRF047591881,25067.95,2019-02-24,CHICAGO DEPARTMENT OF TRANSPORTATION,HOWARD AREA COMMUNITY CENTER 01,2019,2
CVIP269549658,53886.1,2019-09-16,DEPT OF GENERAL SERVICES,THRESHOLDS,2019,9
PV39490336763,6868.42,2019-04-02,DEPT OF FAMILY AND SUPPORT SERVICES,OPEN DOOR CLINIC OF GREATER ELGIN,2019,4
PV39496255985,78080.99,2018-05-08,DEPARTMENT OF WATER MANAGEMENT,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2018,5
PVRF267980113,12098.42,2019-06-05,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,"BUS & TRUCK OF CHICAGO, INC",2019,6
PV99401456755,3725.1,2018-03-16,DEPARTMENT OF POLICE,PRIMO CENTER FOR WOMEN AND CHILDREN,2018,3
PV99868447461,39648.67,2018-02-23,DEPT OF STREETS & SANITATION,AT&T CORP,2018,2
PVCI412437961,1067.02,2019-11-20,FIRE DEPARTMENT,PERK PRODUCTS INC,2019,11
CVIP931483846,2098.88,2018-05-12,DEPARTMENT OF HEALTH,JOHNSON PIPE & SUPPLY COMPANY INC,2018,5
CVIP502449412,29997.79,2018-03-10,DEPT OF FAMILY AND SUPPORT SERVICES,CHINESE AMERICAN SERVICE LEAGUE,2018,3
PV39357878510,1063.96,2018-06-08,DEPARTMENT OF BUILDINGS,PRIMO CENTER FOR WOMEN AND CHILDREN,2018,6
PV99682673157,133013.22,2018-06-27,DEPT OF FAMILY AND SUPPORT SERVICES,UNIVERSITY OF CHICAGO 03,2018,6
PV39534081588,19757.96,2018-01-15,DEPT OF COMMUNITY DEVELOPMENT,KOAL ENTERPRISES INC,2018,1
PVCI530013464,787627.24,2018-01-14,DEPT OF GENERAL SERVICES,ALLIED WASTE TRANSPORTATION INC,2018,1
PVCI693187993,608.82,2019-03-17,DEPT OF COMMUNITY DEVELOPMENT,"PROGRESSIVE INDUSTRIES, INC.",2019,3
PV99249291158,960.4,2019-01-19,DEPARTMENT OF HEALTH,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,1
PV99105324342,13733.27,2018-04-10,DEPT OF GENERAL SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2018,4
CVIP735411027,19176.34,2018-07-27,DEPARTMENT OF BUILDINGS,DYNAMO SOLUTIONS GROUP,2018,7
PVCI237335052,7166.73,2019-06-29,DEPARTMENT OF LAW,METROPOLITAN FAMILY SERVICE,2019,6
CVIP958709908,3694.45,2019-05-13,DEPT OF FAMILY AND SUPPORT SERVICES,SERVICE SANITATION,2019,5
PV39677684266,645758.0,2018-03-01,DEPT OF GENERAL SERVICES,WORLD FUEL SERVICES INC,2018,3
PVCI342591481,4862.22,2019-03-18,DEPT OF COMMUNITY DEVELOPMENT,"ALBANY PARK COMMUNITY CENTER, INC",2019,3
PV99067663045,4068.76,2018-09-23,DEPT OF STREETS & SANITATION,HIGHWAY SAFETY CORPORATION.,2018,9
PV39699089063,36.5,2018-08-25,DEPT OF GENERAL SERVICES,RENTAL CAR FINANCE CORP,2018,8
PV27173199237,443.27,2019-01-17,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2019,1
PV39243037878,29717.03,2019-09-04,DEPARTMENT OF CULTURAL AFFAIRS,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,2019,9
CVIP509211835,25184.37,2019-03-27,DEPARTMENT OF FINANCE,G & V CONSTRUCTION CO INC,2019,3
CVIP802132468,8938.66,2018-12-31,DEPT OF STREETS & SANITATION,PUERTO RICAN CULTURAL CENTER,2018,12
PV39282769149,17.28,2019-11-18,DEPT OF GENERAL SERVICES,RENTAL CAR FINANCE CORP,2019,11
CVIP950058933,125172.71,2019-11-28,DEPT OF FAMILY AND SUPPORT SERVICES,GADS HILL CENTER 01,2019,11
PVRF772485350,54679.11,2018-08-12,OFFICE OF EMERGENCY COMMUNICATION,VERIZON WIRELESS,2018,8
PV27424279871,6869.22,2019-05-06,DEPT OF STREETS & SANITATION,ENTERPRISE LEASING CO OF CHICAGO,2019,5
PV99775470310,31.68,2018-03-14,DEPARTMENT OF BUILDINGS,"OFFICE DEPOT, INC.",2018,3
PVRF572237829,38253.0,2018-12-31,DEPT OF AVIATION,"SUMIT CONSTRUCTION CO., INC.",2018,12
PV27259576701,5388.69,2018-10-20,DEPT OF GENERAL SERVICES,OPEN DOOR CLINIC OF GREATER ELGIN,2018,10
PV39569452053,971.83,2019-08-22,DEPT OF GENERAL SERVICES,"OAKK CONSTRUCTION COMPANY, INC",2019,8
PVRF936202903,62853.87,2018-01-19,DEPT OF FAMILY AND SUPPORT SERVICES,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,1
PVCI252294375,8142.39,2018-02-05,DEPT OF AVIATION,"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER",2018,2
PV99793240646,1435.08,2018-04-29,DEPT OF BUSINESS & INFORMATION SERVICES,"COVENTRY HEALTH CARE WORK COMPENSATION, INC.",2018,4
CVIP087677928,15523.61,2019-11-17,DEPARTMENT OF HEALTH,CHICAGO YOUTH CENTERS,2019,11
PVCI006628520,1564.28,2019-02-01,DEPT OF STREETS & SANITATION,"CHICAGO UNITED INDUSTRIES, LIMITED",2019,2
PVCI211282556,4909.15,2019-08-30,DEPT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,2019,8
CVIP774813812,2396.77,2019-03-03,DEPT OF COMMUNITY DEVELOPMENT,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,2019,3
PV99923795405,2136.72,2018-01-14,DEPARTMENT OF BUILDINGS,"INGRAM LIBRARY SERVICES, INC",2018,1
PV39319002961,11315.05,2019-08-20,DEPT OF FAMILY AND SUPPORT SERVICES,CAROLE ROBERTSON CENTER FOR LEARNING,2019,8
PV99553192788,902.25,2019-10-27,DEPARTMENT OF LAW,JOHNSON PIPE & SUPPLY COMPANY INC,2019,10
PV99015527693,2078.59,2018-09-23,DEPT OF AVIATION,"KOREAN AMERICAN COMMUNITY SERVICES, INC.",2018,9
PVCI576396302,19.1,2018-01-18,FIRE DEPARTMENT,FEDEX,2018,1
PV99538414397,6281.95,2019-04-26,DEPT OF AVIATION,"HENRY FRERK SONS, INC.",2019,4
PVRF786061333,3685.45,2018-06-07,DEPT OF GENERAL SERVICES,CENTERS FOR NEW HORIZONS 01,2018,6
PVCI269814763,24011.67,2018-02-21,CHICAGO DEPARTMENT OF TRANSPORTATION,CHICAGO YOUTH CENTERS,2018,2
PVCI843500380,35110.8,2018-08-13,DEPARTMENT OF WATER MANAGEMENT,"IT TAKES A VILLAGE CHILD CARE SERVICES, INC",2018,8
PVRF934819562,19839.3,2018-05-04,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,5
CVIP953776387,44.61,2019-02-25,DEPARTMENT OF WATER MANAGEMENT,PV HOLDING CORP,2019,2
PVRF200201267,40645.29,2019-02-07,DEPT OF FAMILY AND SUPPORT SERVICES,"GLOBETROTTERS ENGINEERING CORPORATION, ATTN: DAVID FELLER",2019,2
PV27682268513,141622.04,2018-09-12,DEPT OF FAMILY AND SUPPORT SERVICES,SET ENVIRONMENTAL INC,2018,9
PV99492416044,1738.64,2018-03-10,DEPT OF BUSINESS & INFORMATION SERVICES,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2018,3
PVRF394257510,225924.75,2019-02-23,DEPT OF COMMUNITY DEVELOPMENT,HEARTLAND ALLIANCE HEALTH,2019,2
CVIP358577665,76975.45,2019-05-19,DEPT OF AVIATION,"HEARTLAND HUMAN CARE SERVICES, INC.",2019,5
PV99685478916,339068.06,2018-03-22,DEPT OF FAMILY AND SUPPORT SERVICES,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,3
CVIP420614584,515.05,2019-04-04,DEPT OF AVIATION,MIDWEST ORTHOPAEDIC CONSULTANT,2019,4
CVIP579202996,12.7,2019-05-07,FIRE DEPARTMENT,PV HOLDING CORP,2019,5
PV27518740214,5887.17,2019-01-12,DEPARTMENT OF HEALTH,"OFFICE DEPOT, INC.",2019,1
CVIP451675669,127.81,2019-08-19,DEPARTMENT OF HEALTH,COMCAST OF CHICAGO INC,2019,8
PV27696074889,11687.13,2018-06-29,DEPARTMENT OF CULTURAL AFFAIRS,PRODUCTION DISTRIBUTION COMPANIES,2018,6
PV99100844958,1334.01,2019-10-22,CHICAGO DEPARTMENT OF TRANSPORTATION,"TERRACON CONSULTANTS, INC.",2019,10
PV99911816746,807.56,2019-06-16,DEPT OF BUSINESS & INFORMATION SERVICES,P V HOLDING CORP,2019,6
PVCI103334474,9719.77,2019-10-11,DEPARTMENT OF LAW,TRI-ANGLE FABRICATION & BODY,2019,10
PVCI278026615,8826.05,2019-07-02,DEPT OF GENERAL SERVICES,ONWARD NEIGHBORHOOD HOUSE,2019,7
PVCI545152626,28.76,2018-12-04,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,12
PVCI705840911,4336.15,2019-08-29,DEPARTMENT OF HEALTH,"CHICAGO UNITED INDUSTRIES, LIMITED",2019,8
PVRF448805270,21969.26,2018-07-28,DEPARTMENT OF POLICE,"OFFICE DEPOT, INC.",2018,7
PV27442400118,296.79,2019-05-28,DEPT OF AVIATION,AT & T 09,2019,5
PV99429401943,20678.99,2019-02-25,DEPT OF GENERAL SERVICES,"ANCHOR MECHANICAL, INC",2019,2
PV39727887446,15073.67,2019-05-18,DEPT OF FLEET MGMT,"RICONDO & ASSOCIATES, INC.",2019,5
PVCI162065760,1040.19,2018-01-29,DEPT OF FAMILY AND SUPPORT SERVICES,"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C",2018,1
PVCI637287960,207757.13,2018-06-04,OHARE MODERNIZATION PROJECT,"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.",2018,6
PV39543605661,182580.38,2019-05-02,DEPT OF FAMILY AND SUPPORT SERVICES,KENNY CONSTRUCTION COMPANY,2019,5
PV27477495668,14586.22,2019-10-06,DEPT OF AVIATION,"EASTER SEALS METROPOLITAN CHICAGO, INC.",2019,10
PVRF129739420,5503.74,2019-06-05,CHICAGO DEPARTMENT OF TRANSPORTATION,COMMONWEALTH. EDISON CO.,2019,6
PV99773830621,3753.52,2019-10-12,CHICAGO DEPARTMENT OF TRANSPORTATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,10
PV27340813800,2292.23,2019-05-15,DEPARTMENT OF WATER MANAGEMENT,ENTERPRISE LEASING CO OF CHICAGO,2019,5
PV27916458300,11962.47,2018-08-27,DEPARTMENT OF HEALTH,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,8
PVRF934135534,627.62,2019-05-30,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2019,5
PVRF701574742,3711.56,2018-12-05,FIRE DEPARTMENT,"OAKK CONSTRUCTION COMPANY, INC",2018,12
PVRF577965473,32622.39,2019-02-20,DEPT OF STREETS & SANITATION,"CDW GOVERNMENT, LLC.",2019,2
CVIP925169678,2964.94,2018-04-28,DEPT OF BUSINESS & INFORMATION SERVICES,"MOBILE FACILITIES OF ILL, INC.",2018,4
PV39251617125,5343.96,2018-01-24,DEPT OF GENERAL SERVICES,HERC RENTALS INC,2018,1
PV27391013852,106061.0,2019-04-15,DEPT OF FLEET MGMT,SAFER FOUNDATION 01,2019,4
CVIP306178067,5970841.7,2018-05-18,DEPT OF FAMILY AND SUPPORT SERVICES,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,5
PVRF995335883,3029.74,2018-12-21,DEPT OF AVIATION,PRODUCTION DISTRIBUTION COMPANIES,2018,12
PV27800129045,49078.31,2019-01-27,CHICAGO DEPARTMENT OF TRANSPORTATION,"TPA NETWORK, INC C/O",2019,1
